marital,divorce,widowed,agekdbrn,happy,hapmar,hapcohab,age,degree,income,relgion,life
Divorced,NA,No ,24,Pretyy Happy,NA,NA,61,Bachelors,"$8,000 to $9,999",Protestant,Exciting
Married,No ,No ,31,Pretyy Happy,Pretyy Happy,NA,37,<High School,"$25,000 or more",None,Dull
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,23,High School,"$25,000 or more",Muslim,Routine
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,71,Graduate,Refused,Protestant,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,20,High School,"$25,000 or more",None,Exciting
Never Married,NA,NA,20,Not Too Happy,NA,Pretyy Happy,65,High School,"$20,000 to $24,999",Protestant,Dull
Never Married,NA,NA,NA,Pretyy Happy,NA,Very Happy,33,Graduate,"$25,000 or more",None,Exciting
Married,No ,No ,27,Pretyy Happy,Very Happy,NA,55,Bachelors,Refused,Catholic ,Routine
Divorced,NA,No ,30,Not Too Happy,NA,NA,33,Bachelors,"$8,000 to $9,999",Protestant,Exciting
Married,No ,No ,NA,Pretyy Happy,Pretyy Happy,NA,37,Associate,"$25,000 or more",None,Routine
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,43,Graduate,"$25,000 or more",None,Exciting
Married,No ,No ,29,Very Happy,Very Happy,NA,44,Graduate,Refused,Protestant,Routine
Married,No ,No ,NA,Not Too Happy,Very Happy,NA,30,Graduate,"$25,000 or more",Muslim,Exciting
Divorced,NA,No ,32,Pretyy Happy,NA,NA,52,Bachelors,"$25,000 or more",Catholic ,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,34,Graduate,"$25,000 or more",None,Routine
Divorced,NA,No ,32,Pretyy Happy,NA,NA,53,Bachelors,"$25,000 or more",Catholic ,Routine
Divorced,NA,No ,NA,Not Too Happy,NA,NA,62,<High School,"$20,000 to $24,999",Catholic ,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,42,High School,"$25,000 or more",None,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,Very Happy,24,Bachelors,"$10,000 to $14,999",Catholic ,Routine
Married,No ,No ,36,Not Too Happy,Pretyy Happy,NA,51,Graduate,Refused,Protestant,Routine
Never Married,NA,NA,27,Not Too Happy,NA,NA,28,High School,"$15,000 to $19,999",None,Routine
Married,No ,No ,39,Pretyy Happy,Very Happy,NA,57,Graduate,"$25,000 or more",None,Routine
Married,No ,No ,36,Pretyy Happy,Pretyy Happy,NA,45,Graduate,Refused,Catholic ,Routine
Married,No ,No ,23,Pretyy Happy,Pretyy Happy,NA,43,Bachelors,"$20,000 to $24,999",Catholic ,Routine
Never Married,NA,NA,24,Pretyy Happy,NA,NA,31,High School,"$25,000 or more",None,Routine
Divorced,NA,No ,29,Not Too Happy,NA,NA,64,High School,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,17,Pretyy Happy,NA,NA,82,Bachelors,"$25,000 or more",None,Routine
Married,Yes,No ,28,Pretyy Happy,Pretyy Happy,NA,58,<High School,"$20,000 to $24,999",Catholic ,Exciting
Married,No ,No ,18,Pretyy Happy,Very Happy,NA,51,Associate,"$25,000 or more",Catholic ,Exciting
Divorced,NA,No ,NA,Not Too Happy,Very Happy,NA,50,Bachelors,"$25,000 or more",Protestant,Routine
Married,No ,No ,27,Very Happy,Very Happy,NA,57,High School,"$25,000 or more",None,Exciting
Married,No ,No ,25,Not Too Happy,Very Happy,NA,62,High School,"$25,000 or more",Catholic ,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,33,High School,"$25,000 or more",None,Routine
Divorced,NA,No ,24,Pretyy Happy,NA,NA,42,Bachelors,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,73,Bachelors,"$25,000 or more",Catholic ,Routine
Divorced,NA,No ,16,Not Too Happy,NA,NA,63,<High School,"$20,000 to $24,999",Protestant,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,32,Bachelors,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,65,Bachelors,"$10,000 to $14,999",Catholic ,Exciting
Married,No ,No ,29,Pretyy Happy,Pretyy Happy,NA,71,Bachelors,Refused,Catholic ,Exciting
Married,No ,No ,34,Pretyy Happy,Very Happy,NA,43,High School,Refused,None,Exciting
Married,No ,No ,21,Pretyy Happy,Pretyy Happy,NA,33,High School,"$10,000 to $14,999",Catholic ,Routine
Separated,NA,No ,23,Pretyy Happy,NA,NA,55,Associate,"$25,000 or more",Protestant,Exciting
Married,No ,No ,29,Pretyy Happy,Very Happy,NA,41,Graduate,Refused,Orthodox-Christian,Routine
Married,No ,No ,34,Pretyy Happy,Pretyy Happy,NA,51,Bachelors,Refused,Protestant,Exciting
Divorced,NA,No ,19,Pretyy Happy,NA,Pretyy Happy,66,Bachelors,"$25,000 or more",Protestant,Routine
Married,Yes,No ,18,Very Happy,Very Happy,NA,70,High School,"$25,000 or more",Protestant,Exciting
Married,No ,No ,21,Pretyy Happy,Very Happy,NA,57,Associate,"$25,000 or more",Protestant,Routine
Widowed,No ,NA,21,Very Happy,NA,Very Happy,46,Associate,"$25,000 or more",Catholic ,Routine
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,41,Graduate,Refused,Catholic ,Exciting
