"","marital","divorce","widowed","agekdbrn","happy","hapmar","hapcohab","age","degree","income","relgion","life"
"1","Divorced",NA,"No ",24,"Pretyy Happy",NA,NA,61,"Bachelors","$8,000 to $9,999","Protestant","Exciting"
"2","Married","No ","No ",31,"Pretyy Happy","Pretyy Happy",NA,37,"<High School","$25,000 or more","None","Dull"
"3","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,23,"High School","$25,000 or more","Muslim","Routine"
"4","Married","No ","No ",NA,"Pretyy Happy","Very Happy",NA,71,"Graduate","Refused","Protestant","Exciting"
"5","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,20,"High School","$25,000 or more","None","Exciting"
"6","Never Married",NA,NA,20,"Not Too Happy",NA,"Pretyy Happy",65,"High School","$20,000 to $24,999","Protestant","Dull"
"7","Never Married",NA,NA,NA,"Pretyy Happy",NA,"Very Happy",33,"Graduate","$25,000 or more","None","Exciting"
"8","Married","No ","No ",27,"Pretyy Happy","Very Happy",NA,55,"Bachelors","Refused","Catholic ","Routine"
"9","Divorced",NA,"No ",30,"Not Too Happy",NA,NA,33,"Bachelors","$8,000 to $9,999","Protestant","Exciting"
"10","Married","No ","No ",NA,"Pretyy Happy","Pretyy Happy",NA,37,"Associate","$25,000 or more","None","Routine"
"11","Married","No ","No ",NA,"Pretyy Happy","Very Happy",NA,43,"Graduate","$25,000 or more","None","Exciting"
"12","Married","No ","No ",29,"Very Happy","Very Happy",NA,44,"Graduate","Refused","Protestant","Routine"
"13","Married","No ","No ",NA,"Not Too Happy","Very Happy",NA,30,"Graduate","$25,000 or more","Muslim","Exciting"
"14","Divorced",NA,"No ",32,"Pretyy Happy",NA,NA,52,"Bachelors","$25,000 or more","Catholic ","Routine"
"15","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,34,"Graduate","$25,000 or more","None","Routine"
"16","Divorced",NA,"No ",32,"Pretyy Happy",NA,NA,53,"Bachelors","$25,000 or more","Catholic ","Routine"
"17","Divorced",NA,"No ",NA,"Not Too Happy",NA,NA,62,"<High School","$20,000 to $24,999","Catholic ","Exciting"
"18","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,42,"High School","$25,000 or more","None","Routine"
"19","Never Married",NA,NA,NA,"Not Too Happy",NA,"Very Happy",24,"Bachelors","$10,000 to $14,999","Catholic ","Routine"
"20","Married","No ","No ",36,"Not Too Happy","Pretyy Happy",NA,51,"Graduate","Refused","Protestant","Routine"
"21","Never Married",NA,NA,27,"Not Too Happy",NA,NA,28,"High School","$15,000 to $19,999","None","Routine"
"22","Married","No ","No ",39,"Pretyy Happy","Very Happy",NA,57,"Graduate","$25,000 or more","None","Routine"
"23","Married","No ","No ",36,"Pretyy Happy","Pretyy Happy",NA,45,"Graduate","Refused","Catholic ","Routine"
"24","Married","No ","No ",23,"Pretyy Happy","Pretyy Happy",NA,43,"Bachelors","$20,000 to $24,999","Catholic ","Routine"
"25","Never Married",NA,NA,24,"Pretyy Happy",NA,NA,31,"High School","$25,000 or more","None","Routine"
"26","Divorced",NA,"No ",29,"Not Too Happy",NA,NA,64,"High School","$25,000 or more","Protestant","Routine"
"27","Divorced",NA,"No ",17,"Pretyy Happy",NA,NA,82,"Bachelors","$25,000 or more","None","Routine"
"28","Married","Yes","No ",28,"Pretyy Happy","Pretyy Happy",NA,58,"<High School","$20,000 to $24,999","Catholic ","Exciting"
"29","Married","No ","No ",18,"Pretyy Happy","Very Happy",NA,51,"Associate","$25,000 or more","Catholic ","Exciting"
"30","Divorced",NA,"No ",NA,"Not Too Happy","Very Happy",NA,50,"Bachelors","$25,000 or more","Protestant","Routine"
"31","Married","No ","No ",27,"Very Happy","Very Happy",NA,57,"High School","$25,000 or more","None","Exciting"
"32","Married","No ","No ",25,"Not Too Happy","Very Happy",NA,62,"High School","$25,000 or more","Catholic ","Exciting"
"33","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,33,"High School","$25,000 or more","None","Routine"
"34","Divorced",NA,"No ",24,"Pretyy Happy",NA,NA,42,"Bachelors","$25,000 or more","Protestant","Routine"
"35","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,73,"Bachelors","$25,000 or more","Catholic ","Routine"
"36","Divorced",NA,"No ",16,"Not Too Happy",NA,NA,63,"<High School","$20,000 to $24,999","Protestant","Routine"
"37","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,32,"Bachelors","$25,000 or more","Protestant","Routine"
"38","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,65,"Bachelors","$10,000 to $14,999","Catholic ","Exciting"
"39","Married","No ","No ",29,"Pretyy Happy","Pretyy Happy",NA,71,"Bachelors","Refused","Catholic ","Exciting"
"40","Married","No ","No ",34,"Pretyy Happy","Very Happy",NA,43,"High School","Refused","None","Exciting"
"41","Married","No ","No ",21,"Pretyy Happy","Pretyy Happy",NA,33,"High School","$10,000 to $14,999","Catholic ","Routine"
"42","Separated",NA,"No ",23,"Pretyy Happy",NA,NA,55,"Associate","$25,000 or more","Protestant","Exciting"
"43","Married","No ","No ",29,"Pretyy Happy","Very Happy",NA,41,"Graduate","Refused","Orthodox-Christian","Routine"
"44","Married","No ","No ",34,"Pretyy Happy","Pretyy Happy",NA,51,"Bachelors","Refused","Protestant","Exciting"
"45","Divorced",NA,"No ",19,"Pretyy Happy",NA,"Pretyy Happy",66,"Bachelors","$25,000 or more","Protestant","Routine"
"46","Married","Yes","No ",18,"Very Happy","Very Happy",NA,70,"High School","$25,000 or more","Protestant","Exciting"
"47","Married","No ","No ",21,"Pretyy Happy","Very Happy",NA,57,"Associate","$25,000 or more","Protestant","Routine"
"48","Widowed","No ",NA,21,"Very Happy",NA,"Very Happy",46,"Associate","$25,000 or more","Catholic ","Routine"
"49","Married","No ","No ",NA,"Pretyy Happy","Very Happy",NA,41,"Graduate","Refused","Catholic ","Exciting"
"50","Married","Yes","No ",27,"Pretyy Happy","Pretyy Happy",NA,79,"Graduate","Refused","None","Routine"
"51","Married","No ","No ",24,"Pretyy Happy","Very Happy",NA,38,"Bachelors","$25,000 or more","Jewish ","Exciting"
"52","Married","No ","No ",42,"Pretyy Happy","Pretyy Happy",NA,68,"Graduate","$25,000 or more","None","Exciting"
"53","Married","No ","No ",NA,"Pretyy Happy","Very Happy",NA,38,"Bachelors","Refused","None","Routine"
"54","Never Married",NA,NA,NA,"Pretyy Happy",NA,"Very Happy",32,"Graduate","$25,000 or more","Orthodox-Christian","Exciting"
